Country or region,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Total CO2 Emissions,Country Code,Schizophrenia Disorders (% of population),Depressive Disorders (% of population),Anxiety Disorders (% of population),Bipolar Disorders (% of population),Eating Disorders (% of population),Coal,Oil,Gas,Cement,Flaring,Per Capita,Income Group,Continent,Mental Health Burden,Social Resilience,Happiness Efficiency,Sustainable Happiness Index,Inequality and Pressure Index,Resilient Happiness,Happiness Level,Happiness-Income Group,Log CO2 Emissions
Philippines,5.631,3400.78949772302,1.293,0.657,0.558,0.117,0.107,145.231756,PHL,0.29213402,2.779254,4.563437,0.3369464,0.10456553,69.52998,55.405615,8.463627,11.674557,0.157976,1.315734,Lower-Middle Income,Asia,8.07633695,1.968,0.0016557919870577717,0.036729959205979414,0.5940801477282397,0.3542794840679447,Neutral,Neutral & Lower-Middle Income,4.985192733031479
Poland,6.182,15874.5220531254,1.438,0.884,0.483,0.117,0.05,318.487666,POL,0.2945265,2.2779574,3.082497,0.5506919,0.18609495,177.935008,88.158063,35.490788,7.692452,4.343708,8.273782,Upper-Middle Income,Europe,6.3917677500000005,2.038,0.0003894290473320347,0.01902859755892443,0.5874654623718916,0.474573883749499,Neutral,Neutral & Upper-Middle Income,5.766718669003575
Portugal,5.693,23343.3628970034,1.431,0.999,0.508,0.047,0.025,47.618826,PRT,0.26907453,4.3940663,8.02761,0.87302935,0.42184258,5.039867,26.152698,12.157955,2.225102,1.133223,4.627714,High Income,Europe,13.985622759999998,1.986,0.00024388088490586818,0.09241215715084015,0.5196390562932948,0.20496519968568958,Neutral,Neutral & High Income,3.8840108221546537
Qatar,6.374,66841.3013472693,1.313,0.871,0.555,0.22,0.167,101.152287,QAT,0.28495243,3.9513783,4.26387,0.7445955,0.3464426,0.0,10.416752,87.430368,1.571676,1.733492,36.032711,High Income,Asia,9.591238829999998,2.088,9.536020202366092e-05,0.05755641200899265,0.613656812832752,0.31827817516010753,Neutral,Neutral & High Income,4.62646470965716
Republic of Korea,5.895,31902.4169048194,1.219,1.036,0.159,0.175,0.056,646.102263,KOR,0.30063236,2.091181,3.2213244,0.5002964,0.35135385,321.60607,175.797343,113.58643,24.9299,0.0,12.472095,High Income,Asia,6.4647880099999995,1.5530000000000002,0.00018478223821059337,0.009033554469040552,0.91745509758577,0.5871621680568292,Neutral,Neutral & High Income,6.4725043391981965
Romania,6.07,12992.0326104674,1.232,0.825,0.462,0.083,0.005,77.030616,ROU,0.28902072,2.6501622,3.2856169,0.6372142,0.16204906,18.309118,29.697703,23.158258,3.828019,0.86164,3.945389,Upper-Middle Income,Europe,7.0240630799999995,1.777,0.00046720941841767947,0.0722148970936265,0.5494697096751651,0.4863096193722197,Neutral,Neutral & Upper-Middle Income,4.357101262497099
Russia,5.648,11447.701171875,1.452,0.726,0.334,0.082,0.031,1692.363414,RUS,0.281813,3.0799155,3.1336958,0.51406276,0.16156821,390.365017,398.417081,803.863171,20.306193,62.654678,11.612027,Upper-Middle Income,Europe,7.17105527,1.868,0.0004933741644022075,0.003323262988850107,0.8454607646332923,0.4216331474257888,Neutral,Neutral & Upper-Middle Income,7.434472015919865
Rwanda,3.334,810.051420243718,0.711,0.614,0.555,0.217,0.411,1.812053,RWA,0.20999436,5.0970206,3.6533618,0.58875066,0.09405708,0.018357,1.538311,0.091785,0.1636,0.0,0.14118,Low Income,Africa,9.6431845,1.483,0.004115788105151286,0.2910459080398813,0.8701413707990949,0.23313311600623465,Unhappy,Unhappy & Low Income,1.0339148215659646
Saudi Arabia,6.375,27892.8421521179,1.357,0.795,0.439,0.08,0.132,656.481441,SAU,0.2628555,4.216069,4.5544286,0.7622446,0.27899438,0.0,371.994928,255.934064,24.603584,3.948865,18.323466,High Income,Asia,10.07459208,1.8760000000000001,0.0002285532598375224,0.009564087163899202,0.7168970281136943,0.33730275194052917,Neutral,Neutral & High Income,6.488416537037572
Senegal,4.681,1431.18128932159,1.134,0.571,0.292,0.153,0.072,12.761457,SEN,0.21622801,4.0294,2.8934357,0.55274326,0.10354699,2.08788,7.970572,0.029304,2.673702,0.0,0.797552,Low Income,Africa,7.79535396,1.579,0.003270724704777892,0.2277104171998476,0.7943635269084214,0.38029504891348764,Unhappy,Unhappy & Low Income,2.6218717135275114
Serbia,5.603,7755.632986437,1.383,0.854,0.282,0.137,0.039,44.344499,SRB,0.28505,2.814907,3.33539,0.540287,0.14359924,29.601456,9.222288,4.56168,0.959075,0.0,5.991645,Upper-Middle Income,Europe,7.119233240000001,1.802,0.0007224426439206819,0.1088727878085198,0.7636356585374784,0.43674969897078514,Neutral,Neutral & Upper-Middle Income,3.814288868211303
Sierra Leone,4.374,843.71251730417,0.841,0.242,0.309,0.252,0.045,1.1908,SLE,0.20804136,4.392157,3.6633224,0.53831226,0.08656057,0.0,1.1908,0.0,0.0,0.0,0.147984,Low Income,Africa,8.88839359,1.402,0.005184230303914185,0.43396328892220437,0.7479462416205523,0.35100029992901965,Unhappy,Unhappy & Low Income,0.7842667739274293
Singapore,6.262,66081.7199235165,1.463,1.141,0.556,0.271,0.453,29.91656,SGP,0.3191951,2.0081315,2.7080863,0.7197487,0.453674,1.971232,7.056864,20.888464,0.0,0.0,5.099641,High Income,Asia,6.208835600000001,2.29,9.476145607662281e-05,0.17334066232343207,0.8975466775931652,0.4404203932527841,Neutral,Neutral & High Income,3.431291962678712
Slovakia,6.198,19406.0589683582,1.504,0.881,0.334,0.121,0.014,33.776188,SVK,0.29567876,2.695262,3.4256656,0.54230446,0.18270175,11.778465,10.319318,9.369659,1.404269,0.01908,6.193007,Upper-Middle Income,Europe,7.1416125699999995,1.959,0.0003193847864785895,0.15147441733572145,0.6821085064534079,0.4430174671029138,Neutral,Neutral & Upper-Middle Income,3.5489328996990235
Slovenia,6.118,25814.1687167572,1.523,0.953,0.564,0.144,0.057,14.048142,SVN,0.2995073,3.1152232,3.3891728,0.5467665,0.1849328,4.530459,7.056562,1.753026,0.477618,0.124603,6.648746,High Income,Europe,7.535602600000001,2.231,0.0002370016275607789,0.28345405829162745,0.4938361200717647,0.36390826146234323,Neutral,Neutral & High Income,2.7112545284241687
Somalia,4.668,539.893931565468,0.698,0.268,0.559,0.243,0.27,0.637536,SOM,0.18841599,4.84665,3.2728631,0.5812081,0.045336246,0.0,0.637536,0.0,,0.0,0.039893,Low Income,Africa,8.934473436,1.5,0.008646142745973714,0.4876718970254889,0.7287294258674942,0.3483137559579846,Unhappy,Unhappy & Low Income,0.49319267301843367
South Africa,4.722,6533.71121032856,1.351,0.469,0.389,0.13,0.055,466.92417,ZAF,0.22481367,4.298678,3.786144,0.5569932,0.16455814,394.345328,57.979136,9.10504,5.452967,0.041698,8.038352,Upper-Middle Income,Africa,9.03118701,1.87,0.0007227133015207976,0.009921098545174667,0.7388460964509121,0.2796015282424732,Unhappy,Unhappy & Upper-Middle Income,6.148306252874852
South Sudan,2.853,,0.575,0.295,0.01,0.202,0.091,1.652464,SSD,0.22934605,4.749942,4.9776773,0.6109647,0.15204576,0.0,1.652464,0.0,0.0,0.0,0.158166,Low Income,Africa,10.719975810000001,0.7869999999999999,,0.23059316059020699,,0.33816856448706967,Unhappy,Unhappy & Low Income,0.9754890193121085
Spain,6.354,29776.2011500384,1.484,1.062,0.362,0.153,0.079,251.825149,ESP,0.2656171,4.704455,4.8611727,0.92482716,0.59025174,23.622477,141.220887,71.252814,9.064168,3.644884,5.343047,High Income,Europe,11.3463237,1.999,0.00021339189535908297,0.02414395426225846,0.7258383159212928,0.28014265930446913,Neutral,Neutral & High Income,5.532698139128513
Sri Lanka,4.366,4082.69404871533,1.265,0.831,0.47,0.244,0.047,22.220113,LKA,0.3008161,2.8662298,4.0355477,0.33558726,0.120000996,5.902704,14.806224,0.0,1.511185,0.0,1.026349,Lower-Middle Income,Asia,7.658181856,1.9789999999999999,0.0010693919132573294,0.14612614344433525,0.5843182791802393,0.28807943858540896,Unhappy,Unhappy & Lower-Middle Income,3.1450188427523056
Swaziland,4.212,3894.32951592818,1.149,0.0,0.313,0.074,0.135,1.121184,SWZ,0.21762118,4.4255295,3.4919646,0.5346536,0.1505392,0.20152,0.919664,0.0,0.0,0.0,0.958594,Lower-Middle Income,Africa,8.820308080000002,1.536,0.001081572574373205,0.42367885686632256,0.8245528122464569,0.31089475278283013,Unhappy,Unhappy & Lower-Middle Income,0.7519744233521449
